epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,112.36,0.63122,1.48866,1.02685,0.70274,0.83333,0.82889,0.75139,0.44163,0.96985,0.96507,0.000649046,0.000649046,0.000649046
44,114.44,0.71004,1.57182,1.08791,0.55829,0.81329,0.80111,0.70503,0.64449,1.28497,1.05439,0.000638047,0.000638047,0.000638047
45,116.689,0.71656,1.53606,1.08182,0.45232,0.80317,0.72917,0.62636,0.74169,1.35478,1.10044,0.000627048,0.000627048,0.000627048
46,119.896,0.67254,1.42883,1.05334,0.55051,0.94123,0.82889,0.74037,0.46335,1.18502,0.90197,0.000616049,0.000616049,0.000616049
47,122.975,0.64662,1.39129,1.02459,0.55363,0.9352,0.82889,0.74046,0.45646,1.20441,0.8882,0.000605051,0.000605051,0.000605051
48,125.134,0.68674,1.44882,1.02381,0.72752,0.96097,0.93944,0.82871,0.47178,1.19012,0.92058,0.000594052,0.000594052,0.000594052
49,127.148,0.63656,1.41724,0.98259,0.73758,0.96142,0.93944,0.84536,0.47546,1.07476,0.90484,0.000583053,0.000583053,0.000583053
50,129.339,0.71197,1.47455,1.05008,0.73874,0.9458,0.995,0.87885,0.5165,0.94807,0.97564,0.000572054,0.000572054,0.000572054
51,131.464,0.66332,1.41148,1.04009,0.74017,0.9587,0.93944,0.82885,0.51228,0.92774,0.9873,0.000561055,0.000561055,0.000561055
52,134.025,0.64913,1.5385,1.03536,0.7512,0.93519,0.93944,0.81771,0.51119,0.96881,1.02184,0.000550056,0.000550056,0.000550056
53,137.429,0.60717,1.31076,0.99109,0.77042,0.89956,0.93944,0.81771,0.44014,0.95713,0.97706,0.000539057,0.000539057,0.000539057
54,140.391,0.56099,1.37455,1.03519,0.77756,0.94677,0.995,0.87885,0.50864,0.93456,0.97746,0.000528058,0.000528058,0.000528058
55,142.402,0.59342,1.50608,1.02939,0.78729,0.98319,0.995,0.87885,0.50031,0.91342,0.95863,0.000517059,0.000517059,0.000517059
56,144.471,0.65853,1.50255,1.03749,0.70543,1,0.93944,0.81857,0.5073,0.96064,0.92185,0.00050606,0.00050606,0.00050606
57,146.604,0.57042,1.36826,0.99928,0.59954,1,0.93944,0.82896,0.49032,0.90948,0.90548,0.000495062,0.000495062,0.000495062
58,148.581,0.59193,1.33845,0.99607,0.64322,1,0.82889,0.71899,0.44969,0.75109,0.91635,0.000484063,0.000484063,0.000484063
59,151.113,0.52699,1.21818,0.99106,0.68096,1,0.88389,0.78438,0.44115,0.68764,0.92515,0.000473064,0.000473064,0.000473064
60,154.695,0.57831,1.42402,1.01159,0.85081,0.83333,0.88389,0.78996,0.54028,0.78915,0.99655,0.000462065,0.000462065,0.000462065
61,157.277,0.62164,1.32645,1.02791,0.8523,0.83333,0.91167,0.8122,0.51032,0.8692,1.01065,0.000451066,0.000451066,0.000451066
62,159.315,0.56928,1.36559,1.01493,0.84476,0.83333,0.93944,0.81777,0.4961,0.91411,1.00208,0.000440067,0.000440067,0.000440067
63,161.323,0.55858,1.19811,1.00805,0.84398,0.83333,0.93944,0.81776,0.50288,0.97078,0.99355,0.000429068,0.000429068,0.000429068
64,163.392,0.57847,1.22375,0.99823,0.85073,0.83333,0.93944,0.87854,0.43466,0.9218,0.95084,0.000418069,0.000418069,0.000418069
65,165.486,0.59142,1.29758,1.00782,0.84991,0.83333,0.93944,0.87854,0.41592,0.84508,0.91651,0.00040707,0.00040707,0.00040707
66,168.311,0.53484,1.12195,0.96619,0.81515,0.83333,0.91167,0.84522,0.38001,0.74663,0.88936,0.000396071,0.000396071,0.000396071
67,171.585,0.52761,1.2771,0.98753,0.89525,0.83333,0.91167,0.86187,0.39523,0.79338,0.91308,0.000385073,0.000385073,0.000385073
68,174.226,0.56563,1.2129,0.99314,0.89866,0.83333,0.91167,0.8287,0.4131,0.80212,0.92579,0.000374074,0.000374074,0.000374074
69,176.182,0.57912,1.21967,1.00564,0.79672,0.82348,0.91167,0.8287,0.39221,0.87289,0.89332,0.000363075,0.000363075,0.000363075
70,178.27,0.50882,1.13757,0.96551,0.82027,0.82603,0.91167,0.84522,0.35741,0.80271,0.86582,0.000352076,0.000352076,0.000352076
71,180.25,0.53757,1.09807,0.98711,0.88864,0.82937,0.91167,0.84522,0.34824,0.67974,0.87801,0.000341077,0.000341077,0.000341077
72,182.279,0.50779,1.01776,0.95001,0.89847,0.83333,0.91167,0.86187,0.39123,0.62014,0.91126,0.000330078,0.000330078,0.000330078
73,185.068,0.52703,1.1547,0.98831,0.85985,0.83333,0.91167,0.86187,0.43,0.65132,0.9228,0.000319079,0.000319079,0.000319079
74,188.644,0.50762,0.94962,0.92846,0.62191,0.96432,0.93944,0.85364,0.45199,0.68763,0.89993,0.00030808,0.00030808,0.00030808
75,191.11,0.526,1.10954,0.96604,0.63525,1,0.93944,0.85364,0.40471,0.6484,0.87254,0.000297081,0.000297081,0.000297081
76,193.063,0.53174,1.18248,0.98604,0.81216,0.98676,0.995,0.90362,0.3637,0.55845,0.85089,0.000286083,0.000286083,0.000286083
77,195.262,0.50831,1.13176,0.96571,0.95956,0.88343,0.995,0.90362,0.38664,0.54197,0.85142,0.000275084,0.000275084,0.000275084
78,197.384,0.54112,1.19923,1.00068,0.97477,0.93262,0.995,0.90362,0.37655,0.56434,0.84501,0.000264085,0.000264085,0.000264085
79,199.358,0.51628,1.13613,0.95663,0.96805,0.93108,0.995,0.90362,0.36244,0.56058,0.84301,0.000253086,0.000253086,0.000253086
80,202.345,0.52939,1.17825,0.98446,0.8361,0.99115,0.995,0.90362,0.34534,0.49861,0.83826,0.000242087,0.000242087,0.000242087
81,205.754,0.49814,1.00198,0.91883,0.81174,0.98953,0.995,0.90362,0.3502,0.50469,0.8424,0.000231088,0.000231088,0.000231088
