epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1229.22,0.79519,0.94397,1.11632,0.66819,0.7395,0.75565,0.5756,0.93546,1.01165,1.25171,0.000540037,0.000540037,0.000540037
43,1258.78,0.79091,0.93105,1.11399,0.68113,0.74057,0.76167,0.56926,0.96473,0.99845,1.29577,0.000531038,0.000531038,0.000531038
44,1287.66,0.78755,0.89656,1.10988,0.63448,0.77666,0.77197,0.59135,0.94728,0.9601,1.26532,0.000522039,0.000522039,0.000522039
45,1314.77,0.77918,0.91159,1.11317,0.72771,0.66765,0.75096,0.57549,0.94771,0.9892,1.26852,0.00051304,0.00051304,0.00051304
46,1344.03,0.76728,0.89714,1.09802,0.67467,0.76387,0.76699,0.59191,0.89031,0.96329,1.24595,0.00050404,0.00050404,0.00050404
47,1373.6,0.7757,0.90215,1.10451,0.695,0.76123,0.78051,0.60389,0.90918,0.98056,1.23164,0.000495041,0.000495041,0.000495041
48,1401.18,0.77286,0.87755,1.10193,0.73504,0.72891,0.78367,0.60409,0.92871,0.93964,1.27565,0.000486042,0.000486042,0.000486042
49,1430.12,0.77142,0.8579,1.09764,0.71551,0.74258,0.77875,0.60226,0.88252,0.9549,1.22717,0.000477043,0.000477043,0.000477043
50,1459.52,0.74434,0.85816,1.08598,0.74111,0.73478,0.78143,0.6081,0.85013,0.92438,1.18643,0.000468044,0.000468044,0.000468044
51,1487.96,0.76037,0.85565,1.0957,0.7188,0.73609,0.77805,0.60259,0.88677,0.9473,1.2149,0.000459045,0.000459045,0.000459045
52,1516.1,0.76451,0.85966,1.09731,0.7391,0.72798,0.79077,0.61299,0.87716,0.95388,1.19548,0.000450046,0.000450046,0.000450046
53,1545.51,0.76879,0.83608,1.09275,0.70162,0.8037,0.79565,0.61071,0.86398,0.90105,1.19652,0.000441047,0.000441047,0.000441047
54,1574.89,0.73979,0.83589,1.0866,0.67608,0.75245,0.77014,0.60083,0.85295,0.96076,1.19023,0.000432048,0.000432048,0.000432048
55,1602.5,0.74918,0.83722,1.08653,0.68857,0.75864,0.7773,0.57858,0.94617,1.05244,1.30426,0.000423049,0.000423049,0.000423049
56,1632.32,0.74361,0.82591,1.08085,0.70869,0.73806,0.79809,0.6269,0.83068,0.98643,1.16728,0.000414049,0.000414049,0.000414049
57,1661.59,0.74392,0.80684,1.08123,0.70392,0.79253,0.80838,0.63238,0.82773,0.86516,1.17497,0.00040505,0.00040505,0.00040505
58,1688.67,0.72495,0.80937,1.08227,0.73733,0.75266,0.79967,0.61872,0.88309,0.99957,1.2277,0.000396051,0.000396051,0.000396051
59,1717.71,0.73736,0.81531,1.08564,0.72735,0.75566,0.79604,0.61913,0.87532,0.90552,1.2278,0.000387052,0.000387052,0.000387052
60,1746.99,0.7312,0.79286,1.07594,0.72523,0.77164,0.8038,0.62673,0.87699,0.91283,1.19744,0.000378053,0.000378053,0.000378053
61,1774.75,0.71528,0.78994,1.07951,0.75946,0.73987,0.80418,0.63192,0.82049,0.90432,1.15529,0.000369054,0.000369054,0.000369054
62,1802.89,0.72465,0.77601,1.08365,0.73164,0.79562,0.81162,0.63029,0.91534,0.91321,1.26343,0.000360055,0.000360055,0.000360055
63,1832.41,0.70694,0.78285,1.07816,0.73534,0.76794,0.80217,0.62772,0.85654,0.92831,1.17864,0.000351056,0.000351056,0.000351056
64,1860.44,0.70823,0.74757,1.0652,0.68437,0.7691,0.77104,0.57122,0.8757,1.07479,1.22279,0.000342057,0.000342057,0.000342057
65,1888.95,0.71256,0.75075,1.06701,0.74946,0.76006,0.80957,0.63401,0.86107,0.91024,1.18358,0.000333058,0.000333058,0.000333058
66,1918.15,0.71962,0.75935,1.07499,0.75727,0.77754,0.82296,0.64067,0.88425,0.85025,1.20783,0.000324058,0.000324058,0.000324058
67,1946.3,0.71344,0.74999,1.06974,0.73511,0.77496,0.81638,0.64063,0.83961,0.8466,1.18441,0.000315059,0.000315059,0.000315059
68,1974.22,0.68714,0.73818,1.06594,0.76386,0.77512,0.82159,0.64171,0.8295,0.80681,1.15059,0.00030606,0.00030606,0.00030606
69,2003.59,0.70116,0.72869,1.06669,0.73591,0.80768,0.81829,0.64254,0.83906,0.87672,1.16691,0.000297061,0.000297061,0.000297061
